Book,Title,Goodreads,Sentiment,Status
478,A Monk of Fife,9,0.115095,Neither
479,The Drummer s Coat,0,-0.03482,Neither
480,The Duke of Stockbridge A Romance of Shays Rebellion,13,0.004993,Neither
481,The Eagle s Heart,3,0.165397,Neither
482,The Ebb Tide A Trio And Quartette,335,-0.075254,Canonical novels
483,The Empire Makers A Romance of Adventure and War in South Africa,0,0.130299,Neither
484,The Eternal City,53,0.018418,Neither
485,The Exploits of Brigadier Gerard,428,0.016658,Neither
486,The Eye of Istar A Romance of the Land of No Return,1,-0.093207,Neither
487,The Face and the Mask,6,0.143192,Neither
488,The Family at Misrule,0,0.110134,Neither
489,A Nest of Linnets,2,0.378404,Neither
490,The Farringdons,5,0.578659,Bestsellers
491,The Field of Clover,11,0.169785,Neither
492,The Fifth of November A Romance of the Stuarts,2,0.026976,Neither
